Run Status: Accepted!
Program Runtime: 1024 milli secs
Progress: 168/168 test cases passed.
input	output	expected	
[6,8,12,5,9,3,4,11], 31	[[3,3,3,3,3,3,3,3,3,4],[3,3,3,3,3,4,4,4,4],[3,4,4,4,4,4,4,4],[3,3,3,3,3,3,4,4,5],[3,3,4,4,4,4,4,5],[3,3,3,3,3,3,3,5,5],[3,3,3,4,4,4,5,5],[3,3,3,3,4,5,5,5],[4,4,4,4,5,5,5],[3,4,4,5,5,5,5],[3,3,5,5,5,5,5],[3,3,3,3,3,3,3,4,6],[3,3,3,4,4,4,4,6],[3,3,3,3,4,4,5,6],[4,4,4,4,4,5,6],[3,3,3,3,3,5,5,6],[3,4,4,4,5,5,6],[3,3,4,5,5,5,6],[5,5,5,5,5,6],[3,3,3,3,3,4,6,6],[3,4,4,4,4,6,6],[3,3,4,4,5,6,6],[3,3,3,5,5,6,6],[4,5,5,5,6,6],[3,3,3,4,6,6,6],[4,4,5,6,6,6],[3,5,5,6,6,6],[3,4,6,6,6,6],[3,3,3,3,3,4,4,8],[3,4,4,4,4,4,8],[3,3,3,3,3,3,5,8],[3,3,4,4,4,5,8],[3,3,3,4,5,5,8],[4,4,5,5,5,8],[3,5,5,5,5,8],[3,3,3,4,4,6,8],[3,3,3,3,5,6,8],[4,4,4,5,6,8],[3,4,5,5,6,8],[3,4,4,6,6,8],[3,3,5,6,6,8],[5,6,6,6,8],[3,3,3,3,3,8,8],[3,4,4,4,8,8],[3,3,4,5,8,8],[5,5,5,8,8],[3,3,3,6,8,8],[4,5,6,8,8],[3,6,6,8,8],[3,4,8,8,8],[3,3,3,3,3,3,4,9],[3,3,4,4,4,4,9],[3,3,3,4,4,5,9],[3,3,3,3,5,5,9],[4,4,4,5,5,9],[3,4,5,5,5,9],[3,3,3,3,4,6,9],[4,4,4,4,6,9],[3,4,4,5,6,9],[3,3,5,5,6,9],[3,3,4,6,6,9],[5,5,6,6,9],[4,6,6,6,9],[3,3,4,4,8,9],[3,3,3,5,8,9],[4,5,5,8,9],[4,4,6,8,9],[3,5,6,8,9],[3,3,8,8,9],[6,8,8,9],[3,3,3,4,9,9],[4,4,5,9,9],[3,5,5,9,9],[3,4,6,9,9],[5,8,9,9],[4,9,9,9],[3,3,3,3,4,4,11],[4,4,4,4,4,11],[3,3,3,3,3,5,11],[3,4,4,4,5,11],[3,3,4,5,5,11],[5,5,5,5,11],[3,3,4,4,6,11],[3,3,3,5,6,11],[4,5,5,6,11],[4,4,6,6,11],[3,5,6,6,11],[3,3,3,3,8,11],[4,4,4,8,11],[3,4,5,8,11],[3,3,6,8,11],[6,6,8,11],[4,8,8,11],[3,4,4,9,11],[3,3,5,9,11],[5,6,9,11],[3,8,9,11],[3,3,3,11,11],[4,5,11,11],[3,6,11,11],[9,11,11],[3,3,3,3,3,4,12],[3,4,4,4,4,12],[3,3,4,4,5,12],[3,3,3,5,5,12],[4,5,5,5,12],[3,3,3,4,6,12],[4,4,5,6,12],[3,5,5,6,12],[3,4,6,6,12],[3,4,4,8,12],[3,3,5,8,12],[5,6,8,12],[3,8,8,12],[3,3,4,9,12],[5,5,9,12],[4,6,9,12],[4,4,11,12],[3,5,11,12],[8,11,12],[3,4,12,12]]	[[3,3,3,3,3,3,3,3,3,4],[3,3,3,3,3,4,4,4,4],[3,4,4,4,4,4,4,4],[3,3,3,3,3,3,4,4,5],[3,3,4,4,4,4,4,5],[3,3,3,3,3,3,3,5,5],[3,3,3,4,4,4,5,5],[3,3,3,3,4,5,5,5],[4,4,4,4,5,5,5],[3,4,4,5,5,5,5],[3,3,5,5,5,5,5],[3,3,3,3,3,3,3,4,6],[3,3,3,4,4,4,4,6],[3,3,3,3,4,4,5,6],[4,4,4,4,4,5,6],[3,3,3,3,3,5,5,6],[3,4,4,4,5,5,6],[3,3,4,5,5,5,6],[5,5,5,5,5,6],[3,3,3,3,3,4,6,6],[3,4,4,4,4,6,6],[3,3,4,4,5,6,6],[3,3,3,5,5,6,6],[4,5,5,5,6,6],[3,3,3,4,6,6,6],[4,4,5,6,6,6],[3,5,5,6,6,6],[3,4,6,6,6,6],[3,3,3,3,3,4,4,8],[3,4,4,4,4,4,8],[3,3,3,3,3,3,5,8],[3,3,4,4,4,5,8],[3,3,3,4,5,5,8],[4,4,5,5,5,8],[3,5,5,5,5,8],[3,3,3,4,4,6,8],[3,3,3,3,5,6,8],[4,4,4,5,6,8],[3,4,5,5,6,8],[3,4,4,6,6,8],[3,3,5,6,6,8],[5,6,6,6,8],[3,3,3,3,3,8,8],[3,4,4,4,8,8],[3,3,4,5,8,8],[5,5,5,8,8],[3,3,3,6,8,8],[4,5,6,8,8],[3,6,6,8,8],[3,4,8,8,8],[3,3,3,3,3,3,4,9],[3,3,4,4,4,4,9],[3,3,3,4,4,5,9],[3,3,3,3,5,5,9],[4,4,4,5,5,9],[3,4,5,5,5,9],[3,3,3,3,4,6,9],[4,4,4,4,6,9],[3,4,4,5,6,9],[3,3,5,5,6,9],[3,3,4,6,6,9],[5,5,6,6,9],[4,6,6,6,9],[3,3,4,4,8,9],[3,3,3,5,8,9],[4,5,5,8,9],[4,4,6,8,9],[3,5,6,8,9],[3,3,8,8,9],[6,8,8,9],[3,3,3,4,9,9],[4,4,5,9,9],[3,5,5,9,9],[3,4,6,9,9],[5,8,9,9],[4,9,9,9],[3,3,3,3,4,4,11],[4,4,4,4,4,11],[3,3,3,3,3,5,11],[3,4,4,4,5,11],[3,3,4,5,5,11],[5,5,5,5,11],[3,3,4,4,6,11],[3,3,3,5,6,11],[4,5,5,6,11],[4,4,6,6,11],[3,5,6,6,11],[3,3,3,3,8,11],[4,4,4,8,11],[3,4,5,8,11],[3,3,6,8,11],[6,6,8,11],[4,8,8,11],[3,4,4,9,11],[3,3,5,9,11],[5,6,9,11],[3,8,9,11],[3,3,3,11,11],[4,5,11,11],[3,6,11,11],[9,11,11],[3,3,3,3,3,4,12],[3,4,4,4,4,12],[3,3,4,4,5,12],[3,3,3,5,5,12],[4,5,5,5,12],[3,3,3,4,6,12],[4,4,5,6,12],[3,5,5,6,12],[3,4,6,6,12],[3,4,4,8,12],[3,3,5,8,12],[5,6,8,12],[3,8,8,12],[3,3,4,9,12],[5,5,9,12],[4,6,9,12],[4,4,11,12],[3,5,11,12],[8,11,12],[3,4,12,12]]	
   
[11,5,12,7,9,8], 17	[[5,5,7],[8,9],[5,12]]	[[5,5,7],[8,9],[5,12]]	
   
[9,10,4,12,8,5,6], 27	[[4,4,4,5,5,5],[4,4,4,4,5,6],[5,5,5,6,6],[4,5,6,6,6],[4,5,5,5,8],[4,4,5,6,8],[5,6,8,8],[4,4,5,5,9],[4,4,4,6,9],[6,6,6,9],[5,5,8,9],[4,6,8,9],[4,5,9,9],[9,9,9],[4,4,4,5,10],[5,6,6,10],[4,5,8,10],[4,4,9,10],[8,9,10],[5,5,5,12],[4,5,6,12],[6,9,12],[5,10,12]]	[[4,4,4,5,5,5],[4,4,4,4,5,6],[5,5,5,6,6],[4,5,6,6,6],[4,5,5,5,8],[4,4,5,6,8],[5,6,8,8],[4,4,5,5,9],[4,4,4,6,9],[6,6,6,9],[5,5,8,9],[4,6,8,9],[4,5,9,9],[9,9,9],[4,4,4,5,10],[5,6,6,10],[4,5,8,10],[4,4,9,10],[8,9,10],[5,5,5,12],[4,5,6,12],[6,9,12],[5,10,12]]	
   
[4,3,10], 10	[[3,3,4],[10]]	[[3,3,4],[10]]	
   
[12,10,8,11,3,6], 20	[[3,3,3,3,8],[3,3,6,8],[6,6,8],[10,10],[3,3,3,11],[3,6,11],[8,12]]	[[3,3,3,3,8],[3,3,6,8],[6,6,8],[10,10],[3,3,3,11],[3,6,11],[8,12]]	
   
[4,9,6,12,5,10,7,8], 21	[[4,4,4,4,5],[5,5,5,6],[4,5,6,6],[4,5,5,7],[4,4,6,7],[7,7,7],[4,4,5,8],[6,7,8],[5,8,8],[4,4,4,9],[6,6,9],[5,7,9],[4,8,9],[5,6,10],[4,7,10],[4,5,12],[9,12]]	[[4,4,4,4,5],[5,5,5,6],[4,5,6,6],[4,5,5,7],[4,4,6,7],[7,7,7],[4,4,5,8],[6,7,8],[5,8,8],[4,4,4,9],[6,6,9],[5,7,9],[4,8,9],[5,6,10],[4,7,10],[4,5,12],[9,12]]	
   
[10,7,4,8,11], 14	[[7,7],[4,10]]	[[7,7],[4,10]]	
   
[48,22,49,24,26,47,33,40,37,39,31,46,36,43,45,34,28,20,29,25,41,32,23], 69	[[23,23,23],[22,23,24],[22,22,25],[20,24,25],[20,23,26],[20,20,29],[33,36],[32,37],[29,40],[28,41],[26,43],[24,45],[23,46],[22,47],[20,49]]	[[23,23,23],[22,23,24],[22,22,25],[20,24,25],[20,23,26],[20,20,29],[33,36],[32,37],[29,40],[28,41],[26,43],[24,45],[23,46],[22,47],[20,49]]	
   
[21,46,35,20,44,31,29,23,45,37,33,34,39,42,24,40,41,26,22,38,36,27,25,49,48,43], 71	[[23,24,24],[23,23,25],[22,24,25],[21,25,25],[22,23,26],[21,24,26],[20,25,26],[22,22,27],[21,23,27],[20,24,27],[21,21,29],[20,22,29],[20,20,31],[35,36],[34,37],[33,38],[31,40],[29,42],[27,44],[26,45],[25,46],[23,48],[22,49]]	[[23,24,24],[23,23,25],[22,24,25],[21,25,25],[22,23,26],[21,24,26],[20,25,26],[22,22,27],[21,23,27],[20,24,27],[21,21,29],[20,22,29],[20,20,31],[35,36],[34,37],[33,38],[31,40],[29,42],[27,44],[26,45],[25,46],[23,48],[22,49]]	
   
[30,34,25,24,29,38,36,42,45,44,31,28,26,37,23,20,47,40,49,46,39,43,33,41,27,32,35,48], 54	[[27,27],[26,28],[25,29],[24,30],[23,31],[20,34]]	[[27,27],[26,28],[25,29],[24,30],[23,31],[20,34]]	
   
[35,29,32,40,44,33,39,23,20,36,42,22,48,25,47,26,37,21,27,41,46,49,30,43,28,34,31,24,38], 72	[[24,24,24],[23,24,25],[22,25,25],[23,23,26],[22,24,26],[21,25,26],[20,26,26],[22,23,27],[21,24,27],[20,25,27],[22,22,28],[21,23,28],[20,24,28],[21,22,29],[20,23,29],[21,21,30],[20,22,30],[20,21,31],[20,20,32],[36,36],[35,37],[34,38],[33,39],[32,40],[31,41],[30,42],[29,43],[28,44],[26,46],[25,47],[24,48],[23,49]]	[[24,24,24],[23,24,25],[22,25,25],[23,23,26],[22,24,26],[21,25,26],[20,26,26],[22,23,27],[21,24,27],[20,25,27],[22,22,28],[21,23,28],[20,24,28],[21,22,29],[20,23,29],[21,21,30],[20,22,30],[20,21,31],[20,20,32],[36,36],[35,37],[34,38],[33,39],[32,40],[31,41],[30,42],[29,43],[28,44],[26,46],[25,47],[24,48],[23,49]]	
   
[37,40,28,39,36,20,23,44,27,47,34,29,30,33,32,49,48,41,24,25,26,38,21,45,46,35,31], 65	[[21,21,23],[20,21,24],[20,20,25],[32,33],[31,34],[30,35],[29,36],[28,37],[27,38],[26,39],[25,40],[24,41],[21,44],[20,45]]	[[21,21,23],[20,21,24],[20,20,25],[32,33],[31,34],[30,35],[29,36],[28,37],[27,38],[26,39],[25,40],[24,41],[21,44],[20,45]]	
   
[24,33,35,36,21,47,39,29,28,22,42,49,27,34,30,26,40,25,37,32,46,48,31,23,41], 62	[[31,31],[30,32],[29,33],[28,34],[27,35],[26,36],[25,37],[23,39],[22,40],[21,41]]	[[31,31],[30,32],[29,33],[28,34],[27,35],[26,36],[25,37],[23,39],[22,40],[21,41]]	
   
[20,41,30,40,34,43,47,31,48,29,45,21,24,35,38,26,39,25,42,37,23,28,49,27,22,32,44,36], 70	[[23,23,24],[22,24,24],[22,23,25],[21,24,25],[20,25,25],[22,22,26],[21,23,26],[20,24,26],[21,22,27],[20,23,27],[21,21,28],[20,22,28],[20,21,29],[20,20,30],[35,35],[34,36],[32,38],[31,39],[30,40],[29,41],[28,42],[27,43],[26,44],[25,45],[23,47],[22,48],[21,49]]	[[23,23,24],[22,24,24],[22,23,25],[21,24,25],[20,25,25],[22,22,26],[21,23,26],[20,24,26],[21,22,27],[20,23,27],[21,21,28],[20,22,28],[20,21,29],[20,20,30],[35,35],[34,36],[32,38],[31,39],[30,40],[29,41],[28,42],[27,43],[26,44],[25,45],[23,47],[22,48],[21,49]]	
   
[37,34,46,49,40,27,23,36,21,39,28,44,47,35,45,41,48,29,26,20,38,25,32,24,30,22], 57	[[28,29],[27,30],[25,32],[23,34],[22,35],[21,36],[20,37]]	[[28,29],[27,30],[25,32],[23,34],[22,35],[21,36],[20,37]]	
   
[36,48,43,21,41,44,30,35,42,26,25,22,28,38,29,34,24,37,46,32,33,39,47,49,40,45,27,31], 60	[[30,30],[29,31],[28,32],[27,33],[26,34],[25,35],[24,36],[22,38],[21,39]]	[[30,30],[29,31],[28,32],[27,33],[26,34],[25,35],[24,36],[22,38],[21,39]]	
   
[21,28,24,40,36,30,39,20,27,34,23,33,35,42,22,48,26,41,44,46,31,47,32,29,37,45,49,43], 50	[[24,26],[23,27],[22,28],[21,29],[20,30]]	[[24,26],[23,27],[22,28],[21,29],[20,30]]	
   
[27,34,37,31,48,35,39,41,20,36,49,32,25,40,22,43,29,45,44,42,38,26,30,47,23], 68	[[22,23,23],[20,23,25],[20,22,26],[34,34],[32,36],[31,37],[30,38],[29,39],[27,41],[26,42],[25,43],[23,45],[20,48]]	[[22,23,23],[20,23,25],[20,22,26],[34,34],[32,36],[31,37],[30,38],[29,39],[27,41],[26,42],[25,43],[23,45],[20,48]]	
   
[28,23,41,49,21,47,48,35,36,44,26,20,37,24,46,33,30,22,25,31,32,45,43,42,40,39,34,29,27], 69	[[23,23,23],[22,23,24],[21,24,24],[22,22,25],[21,23,25],[20,24,25],[21,22,26],[20,23,26],[21,21,27],[20,22,27],[20,21,28],[20,20,29],[34,35],[33,36],[32,37],[30,39],[29,40],[28,41],[27,42],[26,43],[25,44],[24,45],[23,46],[22,47],[21,48],[20,49]]	[[23,23,23],[22,23,24],[21,24,24],[22,22,25],[21,23,25],[20,24,25],[21,22,26],[20,23,26],[21,21,27],[20,22,27],[20,21,28],[20,20,29],[34,35],[33,36],[32,37],[30,39],[29,40],[28,41],[27,42],[26,43],[25,44],[24,45],[23,46],[22,47],[21,48],[20,49]]	
   
[32,45,37,34,30,46,29,33,47,39,21,43,38,25,40,48,35,22,24,41,26,42,44,23,49,28,31,20], 62	[[20,21,21],[20,20,22],[31,31],[30,32],[29,33],[28,34],[25,37],[24,38],[23,39],[22,40],[21,41],[20,42]]	[[20,21,21],[20,20,22],[31,31],[30,32],[29,33],[28,34],[25,37],[24,38],[23,39],[22,40],[21,41],[20,42]]	
   
[47,22,29,46,37,30,43,21,44,36,25,27,20,40,39,26,35,32,28,42,34,33,38,48,31,49,23,24,45,41], 55	[[27,28],[26,29],[25,30],[24,31],[23,32],[22,33],[21,34],[20,35]]	[[27,28],[26,29],[25,30],[24,31],[23,32],[22,33],[21,34],[20,35]]	
   
[26,40,35,41,49,39,47,20,38,44,32,43,37,36,42,25,33,30,24,29,45,22,28,48,23], 64	[[20,22,22],[20,20,24],[32,32],[29,35],[28,36],[26,38],[25,39],[24,40],[23,41],[22,42],[20,44]]	[[20,22,22],[20,20,24],[32,32],[29,35],[28,36],[26,38],[25,39],[24,40],[23,41],[22,42],[20,44]]	
   
[20,23,25,37,33,41,27,45,30,35,44,32,46,28,29,43,34,26,42,24,39,22,38,31,48,21,36,47,49], 68	[[22,23,23],[22,22,24],[21,23,24],[20,24,24],[21,22,25],[20,23,25],[21,21,26],[20,22,26],[20,21,27],[20,20,28],[34,34],[33,35],[32,36],[31,37],[30,38],[29,39],[27,41],[26,42],[25,43],[24,44],[23,45],[22,46],[21,47],[20,48]]	[[22,23,23],[22,22,24],[21,23,24],[20,24,24],[21,22,25],[20,23,25],[21,21,26],[20,22,26],[20,21,27],[20,20,28],[34,34],[33,35],[32,36],[31,37],[30,38],[29,39],[27,41],[26,42],[25,43],[24,44],[23,45],[22,46],[21,47],[20,48]]	
   
[29,49,27,44,35,23,21,42,37,30,45,32,20,28,48,38,46,40,47,34,22,39,25,43,33,36,41,31], 50	[[25,25],[23,27],[22,28],[21,29],[20,30]]	[[25,25],[23,27],[22,28],[21,29],[20,30]]	
   
[24,29,38,22,36,48,31,33,37,42,40,20,26,39,27,35,45,34,21,47,23,44,49,43,25,28,41,30,46], 68	[[22,23,23],[22,22,24],[21,23,24],[20,24,24],[21,22,25],[20,23,25],[21,21,26],[20,22,26],[20,21,27],[20,20,28],[34,34],[33,35],[31,37],[30,38],[29,39],[28,40],[27,41],[26,42],[25,43],[24,44],[23,45],[22,46],[21,47],[20,48]]	[[22,23,23],[22,22,24],[21,23,24],[20,24,24],[21,22,25],[20,23,25],[21,21,26],[20,22,26],[20,21,27],[20,20,28],[34,34],[33,35],[31,37],[30,38],[29,39],[28,40],[27,41],[26,42],[25,43],[24,44],[23,45],[22,46],[21,47],[20,48]]	
   
[20,39,38,47,23,21,40,44,29,46,33,22,24,35,49,48,32,25,43,30,34,26,36,45,41,27], 73	[[24,24,25],[23,25,25],[23,24,26],[22,25,26],[21,26,26],[23,23,27],[22,24,27],[21,25,27],[20,26,27],[22,22,29],[21,23,29],[20,24,29],[21,22,30],[20,23,30],[20,21,32],[20,20,33],[35,38],[34,39],[33,40],[32,41],[30,43],[29,44],[27,46],[26,47],[25,48],[24,49]]	[[24,24,25],[23,25,25],[23,24,26],[22,25,26],[21,26,26],[23,23,27],[22,24,27],[21,25,27],[20,26,27],[22,22,29],[21,23,29],[20,24,29],[21,22,30],[20,23,30],[20,21,32],[20,20,33],[35,38],[34,39],[33,40],[32,41],[30,43],[29,44],[27,46],[26,47],[25,48],[24,49]]	
   
[39,42,22,24,33,48,36,26,23,38,25,34,30,41,40,31,28,27,21,47,35,43,20,49,45,37,44,32], 61	[[20,20,21],[30,31],[28,33],[27,34],[26,35],[25,36],[24,37],[23,38],[22,39],[21,40],[20,41]]	[[20,20,21],[30,31],[28,33],[27,34],[26,35],[25,36],[24,37],[23,38],[22,39],[21,40],[20,41]]	
   
[20,21,43,47,49,38,40,31,46,35,37,23,25,30,39,22,41,27,42,26,24,45,48,44,33,32], 69	[[23,23,23],[22,23,24],[21,24,24],[22,22,25],[21,23,25],[20,24,25],[21,22,26],[20,23,26],[21,21,27],[20,22,27],[32,37],[31,38],[30,39],[27,42],[26,43],[25,44],[24,45],[23,46],[22,47],[21,48],[20,49]]	[[23,23,23],[22,23,24],[21,24,24],[22,22,25],[21,23,25],[20,24,25],[21,22,26],[20,23,26],[21,21,27],[20,22,27],[32,37],[31,38],[30,39],[27,42],[26,43],[25,44],[24,45],[23,46],[22,47],[21,48],[20,49]]	
   
[49,21,42,38,44,24,35,27,20,41,23,29,31,47,28,22,48,25,33,32,26,46,40,36,45], 69	[[23,23,23],[22,23,24],[21,24,24],[22,22,25],[21,23,25],[20,24,25],[21,22,26],[20,23,26],[21,21,27],[20,22,27],[20,21,28],[20,20,29],[33,36],[31,38],[29,40],[28,41],[27,42],[25,44],[24,45],[23,46],[22,47],[21,48],[20,49]]	[[23,23,23],[22,23,24],[21,24,24],[22,22,25],[21,23,25],[20,24,25],[21,22,26],[20,23,26],[21,21,27],[20,22,27],[20,21,28],[20,20,29],[33,36],[31,38],[29,40],[28,41],[27,42],[25,44],[24,45],[23,46],[22,47],[21,48],[20,49]]	
   
[41,21,30,32,38,22,39,31,36,48,44,35,43,34,45,20,26,25,24,40,33,23,46,29,42,37,28,49,27], 64	[[21,21,22],[20,22,22],[20,21,23],[20,20,24],[32,32],[31,33],[30,34],[29,35],[28,36],[27,37],[26,38],[25,39],[24,40],[23,41],[22,42],[21,43],[20,44]]	[[21,21,22],[20,22,22],[20,21,23],[20,20,24],[32,32],[31,33],[30,34],[29,35],[28,36],[27,37],[26,38],[25,39],[24,40],[23,41],[22,42],[21,43],[20,44]]	
   
[41,24,30,47,40,27,21,20,46,48,23,44,25,49,35,42,36,28,33,32,29,22,37,34,26,45], 53	[[26,27],[25,28],[24,29],[23,30],[21,32],[20,33]]	[[26,27],[25,28],[24,29],[23,30],[21,32],[20,33]]	
   
[47,36,30,38,22,41,45,35,32,28,46,48,40,24,39,23,42,21,33,43,31,26,27,37,29,34,49,20], 61	[[20,20,21],[30,31],[29,32],[28,33],[27,34],[26,35],[24,37],[23,38],[22,39],[21,40],[20,41]]	[[20,20,21],[30,31],[29,32],[28,33],[27,34],[26,35],[24,37],[23,38],[22,39],[21,40],[20,41]]	
   
[34,24,39,49,35,41,48,40,26,32,43,29,45,31,46,20,42,33,22,23,27,25,28,47,21,38,37,30,44], 66	[[22,22,22],[21,22,23],[20,23,23],[21,21,24],[20,22,24],[20,21,25],[20,20,26],[33,33],[32,34],[31,35],[29,37],[28,38],[27,39],[26,40],[25,41],[24,42],[23,43],[22,44],[21,45],[20,46]]	[[22,22,22],[21,22,23],[20,23,23],[21,21,24],[20,22,24],[20,21,25],[20,20,26],[33,33],[32,34],[31,35],[29,37],[28,38],[27,39],[26,40],[25,41],[24,42],[23,43],[22,44],[21,45],[20,46]]	
   
[39,33,28,35,38,46,22,26,47,20,30,42,29,43,48,34,24,36,40,32,23,41,37,27], 71	[[23,24,24],[22,23,26],[22,22,27],[20,24,27],[20,23,28],[20,22,29],[35,36],[34,37],[33,38],[32,39],[30,41],[29,42],[28,43],[24,47],[23,48]]	[[23,24,24],[22,23,26],[22,22,27],[20,24,27],[20,23,28],[20,22,29],[35,36],[34,37],[33,38],[32,39],[30,41],[29,42],[28,43],[24,47],[23,48]]	
   
[35,26,46,36,31,41,27,23,48,20,37,49,29,22,40,25,47,45,44,24,38,34,42,43,33,32,39,30], 66	[[22,22,22],[20,23,23],[20,22,24],[20,20,26],[33,33],[32,34],[31,35],[30,36],[29,37],[27,39],[26,40],[25,41],[24,42],[23,43],[22,44],[20,46]]	[[22,22,22],[20,23,23],[20,22,24],[20,20,26],[33,33],[32,34],[31,35],[30,36],[29,37],[27,39],[26,40],[25,41],[24,42],[23,43],[22,44],[20,46]]	
   
[21,33,34,40,31,32,25,22,41,46,27,49,48,44,29,45,23,35,39,36,26,43,20,37,28,38,30,47], 54	[[27,27],[26,28],[25,29],[23,31],[22,32],[21,33],[20,34]]	[[27,27],[26,28],[25,29],[23,31],[22,32],[21,33],[20,34]]	
   
[21,33,35,34,25,40,41,36,39,28,37,27,23,42,44,49,38,48,24,22,29,30,20,47,45,32,26,46,43], 62	[[20,21,21],[20,20,22],[30,32],[29,33],[28,34],[27,35],[26,36],[25,37],[24,38],[23,39],[22,40],[21,41],[20,42]]	[[20,21,21],[20,20,22],[30,32],[29,33],[28,34],[27,35],[26,36],[25,37],[24,38],[23,39],[22,40],[21,41],[20,42]]	
   
[24,41,43,34,48,37,31,47,45,32,33,25,46,27,20,26,36,39,35,49,28,23,21,40], 64	[[20,21,23],[20,20,24],[32,32],[31,33],[28,36],[27,37],[25,39],[24,40],[23,41],[21,43]]	[[20,21,23],[20,20,24],[32,32],[31,33],[28,36],[27,37],[25,39],[24,40],[23,41],[21,43]]	
   
[25,32,48,24,31,34,20,33,39,46,49,44,27,45,37,26,28,47,38,23,42,36,43,30,41], 56	[[28,28],[26,30],[25,31],[24,32],[23,33],[20,36]]	[[28,28],[26,30],[25,31],[24,32],[23,33],[20,36]]	
   
[40,36,43,21,24,25,45,35,33,44,26,46,31,30,49,22,34,23,41,32,28,27,38,47], 59	[[28,31],[27,32],[26,33],[25,34],[24,35],[23,36],[21,38]]	[[28,31],[27,32],[26,33],[25,34],[24,35],[23,36],[21,38]]	
   
[33,28,25,45,26,27,47,29,32,21,37,35,48,49,40,39,41,46,20,24,30,36,38,44,23,34], 51	[[25,26],[24,27],[23,28],[21,30]]	[[25,26],[24,27],[23,28],[21,30]]	
   
[42,26,36,38,35,41,20,47,45,23,33,39,25,43,29,31,28,48,21,46,22,30,37,32,44,40], 55	[[26,29],[25,30],[23,32],[22,33],[20,35]]	[[26,29],[25,30],[23,32],[22,33],[20,35]]	
   
[31,27,39,46,45,21,41,28,29,33,23,42,40,25,35,36,43,38,47,48,26,37,20,34,24,22,30,49], 74	[[24,25,25],[24,24,26],[23,25,26],[22,26,26],[23,24,27],[22,25,27],[21,26,27],[20,27,27],[23,23,28],[22,24,28],[21,25,28],[20,26,28],[22,23,29],[21,24,29],[20,25,29],[22,22,30],[21,23,30],[20,24,30],[21,22,31],[20,23,31],[20,21,33],[20,20,34],[37,37],[36,38],[35,39],[34,40],[33,41],[31,43],[29,45],[28,46],[27,47],[26,48],[25,49]]	[[24,25,25],[24,24,26],[23,25,26],[22,26,26],[23,24,27],[22,25,27],[21,26,27],[20,27,27],[23,23,28],[22,24,28],[21,25,28],[20,26,28],[22,23,29],[21,24,29],[20,25,29],[22,22,30],[21,23,30],[20,24,30],[21,22,31],[20,23,31],[20,21,33],[20,20,34],[37,37],[36,38],[35,39],[34,40],[33,41],[31,43],[29,45],[28,46],[27,47],[26,48],[25,49]]	
   
[44,40,27,30,23,36,49,22,43,24,28,34,45,26,38,41,39,47,32,35,33,42,20,37,21,25,48,46], 67	[[22,22,23],[21,23,23],[21,22,24],[20,23,24],[21,21,25],[20,22,25],[20,21,26],[20,20,27],[33,34],[32,35],[30,37],[28,39],[27,40],[26,41],[25,42],[24,43],[23,44],[22,45],[21,46],[20,47]]	[[22,22,23],[21,23,23],[21,22,24],[20,23,24],[21,21,25],[20,22,25],[20,21,26],[20,20,27],[33,34],[32,35],[30,37],[28,39],[27,40],[26,41],[25,42],[24,43],[23,44],[22,45],[21,46],[20,47]]	
   
[43,24,29,21,22,45,23,48,25,34,41,31,49,28,32,37,38,39,35,42,47,40,20,46,30,33], 53	[[25,28],[24,29],[23,30],[22,31],[21,32],[20,33]]	[[25,28],[24,29],[23,30],[22,31],[21,32],[20,33]]	
   
[42,49,21,27,34,29,46,35,37,36,20,31,43,26,32,39,30,41,23,47,40,28,33,38,25,48,44,24,45], 62	[[20,21,21],[31,31],[30,32],[29,33],[28,34],[27,35],[26,36],[25,37],[24,38],[23,39],[21,41],[20,42]]	[[20,21,21],[31,31],[30,32],[29,33],[28,34],[27,35],[26,36],[25,37],[24,38],[23,39],[21,41],[20,42]]	
   
[48,32,34,43,35,29,21,40,26,31,46,33,37,45,30,39,20,23,28,38,25,49,44,36,42,41,24,47,22,27], 56	[[28,28],[27,29],[26,30],[25,31],[24,32],[23,33],[22,34],[21,35],[20,36]]	[[28,28],[27,29],[26,30],[25,31],[24,32],[23,33],[22,34],[21,35],[20,36]]	
   
[37,46,40,45,35,24,31,23,27,49,30,42,34,36,39,43,28,20,26,41,21,38,47], 56	[[28,28],[26,30],[21,35],[20,36]]	[[28,28],[26,30],[21,35],[20,36]]	
   
[28,22,43,41,21,29,27,38,47,23,20,49,24,31,37,26,32,36,25,33,40,46,30,44,35], 74	[[24,25,25],[24,24,26],[23,25,26],[22,26,26],[23,24,27],[22,25,27],[21,26,27],[20,27,27],[23,23,28],[22,24,28],[21,25,28],[20,26,28],[22,23,29],[21,24,29],[20,25,29],[22,22,30],[21,23,30],[20,24,30],[21,22,31],[20,23,31],[21,21,32],[20,22,32],[20,21,33],[37,37],[36,38],[33,41],[31,43],[30,44],[28,46],[27,47],[25,49]]	[[24,25,25],[24,24,26],[23,25,26],[22,26,26],[23,24,27],[22,25,27],[21,26,27],[20,27,27],[23,23,28],[22,24,28],[21,25,28],[20,26,28],[22,23,29],[21,24,29],[20,25,29],[22,22,30],[21,23,30],[20,24,30],[21,22,31],[20,23,31],[21,21,32],[20,22,32],[20,21,33],[37,37],[36,38],[33,41],[31,43],[30,44],[28,46],[27,47],[25,49]]	
   
